x y
-2400500 -2.3735
-2398000 -1.414
-2395500 -1.313
-2393000 -1.0605
-2390500 -2.02
-2388000 -1.717
-2385500 -1.414
-2383000 -0.6565
-2380500 -0.202
-2378000 -0.8585
-2375500 -0.909
-2373000 -0.9595
-2370500 -2.1715
-2368000 -2.626
-2365500 -2.1715
-2363000 -3.3835
-2360500 -2.828
-2358000 -3.636
-2355500 -3.838
-2353000 -3.03
-2350500 -2.626
-2348000 -1.919
-2345500 -0.2525
-2343000 -0.8585
-2340500 -0.6565
-2338000 0
-2335500 -0.4545
-2333000 -0.9595
-2330500 -1.616
-2328000 -2.222
-2325500 -2.222
-2323000 -1.616
-2320500 -2.02
-2318000 -2.828
-2315500 -2.7775
-2313000 -2.727
-2310500 -2.525
-2308000 -2.0705
-2305500 -1.1615
-2303000 -0.7575
-2300500 -0.808
-2298000 -0.404
-2295500 -0.3535
-2293000 -1.2625
-2290500 -1.313
-2288000 -2.424
-2285500 -2.4745
-2283000 -3.03
-2280500 -3.5855
-2278000 -3.232
-2275500 -3.03
-2273000 -3.3835
-2270500 -1.515
-2268000 -1.414
-2265500 -0.8585
-2263000 -1.2625
-2260500 -0.505
-2258000 -0.0505
-2255500 -0.606
-2253000 -0.9595
-2250500 -1.2625
-2248000 -2.0705
-2245500 -2.626
-2243000 -3.03
-2240500 -3.3835
-2238000 -4.0905
-2235500 -3.03
-2233000 -1.818
-2230500 -1.4645
-2228000 -1.313
-2225500 -1.111
-2223000 -0.9595
-2220500 -1.4645
-2218000 -1.8685
-2215500 -2.0705
-2213000 -1.9695
-2210500 -1.313
-2208000 -1.9695
-2205500 -2.02
-2203000 -2.727
-2200500 -3.1815
-2198000 -3.333
-2195500 -3.1815
-2193000 -2.8785
-2190500 -2.424
-2188000 -1.818
-2185500 -0.909
-2183000 -1.111
-2180500 -1.0605
-2178000 -0.808
-2175500 -1.515
-2173000 -1.818
-2170500 -2.3735
-2168000 -2.4745
-2165500 -2.8785
-2163000 -3.434
-2160500 -3.737
-2158000 -4.7975
-2155500 -4.545
-2153000 -5.2015
-2150500 -5.151
-2148000 -4.7975
-2145500 -4.04
-2143000 -2.02
-2140500 -1.212
-2138000 -0.1515
-2135500 -0.707
-2133000 -0.4545
-2130500 -0.4545
-2128000 -0.606
-2125500 -1.3635
-2123000 -1.515
-2120500 -2.424
-2118000 -2.424
-2115500 -2.626
-2113000 -1.515
-2110500 -1.515
-2108000 -1.5655
-2105500 -2.1715
-2103000 -2.323
-2100500 -1.7675
-2098000 -1.212
-2095500 -1.313
-2093000 -1.4645
-2090500 -2.1715
-2088000 -2.525
-2085500 -3.434
-2083000 -3.2825
-2080500 -3.9895
-2078000 -3.838
-2075500 -4.7975
-2073000 -4.848
-2070500 -5.454
-2068000 -5.1005
-2065500 -4.949
-2063000 -4.949
-2060500 -3.434
-2058000 -2.727
-2055500 -2.626
-2053000 -2.02
-2050500 -2.121
-2048000 -2.5755
-2045500 -2.929
-2043000 -3.636
-2040500 -2.121
-2038000 -2.3735
-2035500 -2.1715
-2033000 -1.818
-2030500 -0.808
-2028000 -0.707
-2025500 -1.212
-2023000 -0.202
-2020500 -1.313
-2018000 -1.8685
-2015500 -1.717
-2013000 -3.0805
-2010500 -2.1715
-2008000 -1.7675
-2005500 -3.4845
-2003000 -3.636
-2000500 -3.0805
-1998000 -3.2825
-1995500 -2.4745
-1993000 -1.919
-1990500 -2.424
-1988000 -2.2725
-1985500 -1.616
-1983000 -0.808
-1980500 -0.909
-1978000 -0.6565
-1975500 -1.2625
-1973000 -1.7675
-1970500 -1.515
-1968000 -2.7775
-1965500 -2.0705
-1963000 -2.727
-1960500 -3.535
-1958000 -3.333
-1955500 -2.8785
-1953000 -3.4845
-1950500 -4.141
-1948000 -4.545
-1945500 -4.8985
-1943000 -4.1915
-1940500 -4.141
-1938000 -1.5655
-1935500 -1.919
-1933000 -1.616
-1930500 -1.2625
-1928000 -1.5655
-1925500 -1.414
-1923000 -1.515
-1920500 -2.2725
-1918000 -2.525
-1915500 -2.222
-1913000 -2.525
-1910500 -3.0805
-1908000 -3.0805
-1905500 -3.1815
-1903000 -4.0905
-1900500 -3.6865
-1898000 -4.141
-1895500 -2.4745
-1893000 -2.727
-1890500 -2.0705
-1888000 -2.424
-1885500 -1.9695
-1883000 -2.7775
-1880500 -2.4745
-1878000 -2.8785
-1875500 -2.6765
-1873000 -3.232
-1870500 -3.1815
-1868000 -3.7875
-1865500 -3.8885
-1863000 -4.848
-1860500 -4.9995
-1858000 -3.4845
-1855500 -2.222
-1853000 -1.818
-1850500 -2.0705
-1848000 -2.121
-1845500 -3.03
-1843000 -2.0705
-1840500 -1.8685
-1838000 -1.8685
-1835500 -1.8685
-1833000 -2.424
-1830500 -2.1715
-1828000 -1.111
-1825500 -2.2725
-1823000 -2.626
-1820500 -2.6765
-1818000 -3.131
-1815500 -3.939
-1813000 -2.0705
-1810500 -2.424
-1808000 -1.616
-1805500 -2.323
-1803000 -2.424
-1800500 -3.03
-1798000 -3.7875
-1795500 -3.4845
-1793000 -4.4945
-1790500 -4.343
