x,temperature{thickness:5;stroke:yellow}
-230140,-4.38
-229979,-4.54
-229815,-4.93
-229649,-4.98
-229482,-5.07
-229315,-5.15
-229146,-5.37
-228972,-6.09
-228794,-5.96
-228618,-5.94
-228440,-6.17
-228264,-5.85
-228088,-6.15
-227909,-6.34
-227726,-6.71
-227541,-6.89
-227354,-7.01
-227165,-7.19
-226974,-7.34
-226783,-7.33
-226596,-6.81
-226416,-6.19
-226241,-6.01
-226064,-6.5
-225883,-6.81
-225699,-7.12
-225512,-7.19
-225321,-7.62
-225128,-7.7
-224939,-7.04
-224758,-6.53
-224582,-6.33
-224408,-6.17
-224238,-5.58
-224072,-5.72
-223900,-6.59
-223726,-5.96
-223562,-4.99
-223399,-5.88
-223229,-6.2
-223058,-6.22
-222888,-5.89
-222716,-6.66
-222536,-7.19
-222351,-7.64
-222164,-7.36
-221979,-7.55
-221792,-7.6
-221605,-7.63
-221420,-7.3
-221240,-6.89
-221062,-7.02
-220885,-6.78
-220711,-6.49
-220535,-7.29
-220355,-7.07
-220182,-6.21
-220015,-6.06
-219850,-6.02
-219684,-6.19
-219520,-5.78
-219363,-4.95
-219210,-4.89
-219058,-5.03
-218907,-4.49
-218761,-4.35
-218613,-4.84
-218461,-4.99
-218312,-4.43
-218167,-4.23
-218023,-4.31
-217878,-4.37
-217738,-3.42
-217605,-2.84
-217472,-3.35
-217339,-3.17
-217207,-2.98
-217076,-2.9
-216946,-2.94
-216814,-3.2
-216681,-3.23
-216551,-2.62
-216426,-2.2
-216303,-2.08
-216181,-1.97
-216060,-1.85
-215939,-2.04
-215817,-2.18
-215699,-1.18
-215584,-1.2
-215470,-1.13
-215356,-1.02
-215244,-0.86
-215131,-1.07
-215018,-1.23
-214904,-0.97
-214792,-1.05
-214678,-1.39
-214560,-2.1
-214439,-2.14
-214319,-2.11
-214197,-2.39
-214075,-2.28
-213955,-1.79
-213839,-1.45
-213723,-1.74
-213608,-1.22
-213497,-0.91
-213386,-1.02
-213274,-1.24
-213161,-1.4
-213047,-1.67
-212932,-1.39
-212819,-1.29
-212706,-1.36
-212592,-1.58
-212478,-1.61
-212364,-1.41
-212251,-1.4
-212138,-1.5
-212024,-1.58
-211911,-1.35
-211799,-1.45
-211684,-2.06
-211567,-1.82
-211453,-1.67
-211338,-1.76
-211223,-1.96
-211109,-1.5
-210996,-1.65
-210881,-2.07
-210766,-1.63
-210653,-1.65
-210538,-2.03
-210422,-2.07
-210305,-2.17
-210190,-1.81
-210075,-2.03
-209960,-2
-209842,-2.8
-209721,-2.61
-209603,-2.28
-209485,-2.53
-209366,-2.56
-209246,-2.67
-209127,-2.64
-209009,-2.21
-208893,-2.14
-208777,-2.33
-208659,-2.79
-208538,-2.91
-208418,-2.67
-208300,-2.64
-208182,-2.51
-208062,-3.07
-207938,-3.58
-207812,-3.48
-207686,-3.73
-207560,-3.55
-207436,-3.17
-207315,-2.88
-207195,-3.06
-207072,-3.7
-206946,-3.55
-206821,-3.6
-206696,-3.59
-206571,-3.68
-206445,-3.81
-206319,-3.7
-206191,-4.35
-206061,-4.02
-205933,-4.11
-205803,-4.51
-205671,-4.47
-205540,-4.37
-205409,-4.49
-205278,-4.31
-205149,-4.29
-205019,-4.37
-204890,-4.27
-204759,-4.65
-204627,-4.62
-204496,-4.39
-204366,-4.67
-204232,-5.05
-204097,-4.95
-203965,-4.45
-203836,-4.35
-203708,-4.25
-203582,-3.95
-203458,-3.63
-203336,-3.68
-203214,-3.69
-203092,-3.55
-202973,-3.17
-202857,-2.78
-202743,-2.56
-202629,-2.94
-202512,-3.17
-202394,-3.25
-202278,-2.84
-202164,-2.71
-202049,-3.1
-201933,-3.03
-201818,-2.92
-201704,-2.73
-201592,-2.43
-201481,-2.56
-201370,-2.34
-201262,-1.9
-201155,-1.98
-201046,-2.38
-200936,-2.49
-200826,-2.29
-200717,-2.35
-200607,-2.54
-200496,-2.51
-200386,-2.59
-200275,-2.4
-200169,-1.53
-200065,-2.02
-199957,-2.34
-199849,-2.08
-199742,-2.26
-199635,-1.99
-199529,-2.11
-199423,-1.96
-199319,-1.49
-199216,-1.9
-199109,-2.59
-198998,-2.78
-198887,-2.84
-198776,-2.82
-198666,-2.48
-198558,-2.42
-198451,-2.02
-198345,-2.23
-198236,-3.07
-198124,-2.78
-198015,-2.68
-197904,-2.95
-197793,-2.8
-197682,-3.17
-197567,-3.63
-197452,-3.4
-197337,-3.62
-197220,-3.84
-197104,-3.37
-196992,-2.96
-196881,-3.08
-196768,-3.29
-196656,-3.2
-196542,-3.68
-196426,-3.81
-196309,-3.8
-196192,-3.85
-196075,-4.07
-195954,-4.48
-195833,-4.3
-195711,-4.83
-195587,-4.87
-195462,-4.79
-195338,-4.97
-195211,-5.17
-195086,-4.86
-194965,-4.04
-194846,-4.49
-194722,-5.37
-194593,-5.45
-194463,-5.72
-194332,-5.72
-194202,-5.59
-194071,-5.73
-193940,-5.78
-193808,-5.95
-193676,-5.88
-193546,-5.48
-193420,-4.92
-193298,-4.81
-193175,-4.9
-193051,-5.22
-192926,-5.07
-192806,-4.23
-192687,-4.79
-192565,-4.96
-192444,-4.53
-192324,-4.8
-192201,-5.19
-192075,-5.63
-191946,-5.88
-191816,-5.89
-191687,-5.68
-191556,-6.25
-191421,-6.78
-191285,-6.28
-191152,-6.21
-191022,-5.84
-190895,-5.35
-190768,-5.97
-190638,-6.01
-190509,-5.85
-190382,-5.51
-190258,-5.02
-190138,-4.83
-190018,-4.97
-189895,-5.46
-189771,-5.36
-189647,-5.55
-189522,-5.51
-189398,-5.35
-189276,-5.18
-189156,-4.63
-189043,-3.68
-188934,-3.6
-188822,-4.51
-188705,-4.72
-188587,-4.79
-188469,-4.84
-188348,-5.61
-188222,-6
-188092,-6.49
-187961,-6.27
-187832,-6.02
-187702,-6.63
-187568,-7.02
-187431,-7.08
-187297,-6.48
-187165,-6.64
-187030,-7.1
-186892,-7.46
-186752,-7.51
-186609,-7.92
-186467,-7.63
-186324,-7.84
-186181,-7.87
-186042,-7.03
-185907,-7.01
-185770,-7.42
-185630,-7.78
-185486,-8.14
-185343,-7.75
-185204,-7.27
-185067,-7.36
-184927,-7.94
-184784,-8.09
-184642,-7.68
-184499,-8.14
-184356,-7.95
-184213,-7.98
-184071,-7.9
-183931,-7.64
-183788,-8.49
-183640,-8.72
-183494,-7.94
-183354,-7.75
-183212,-8.23
-183069,-8.1
-182928,-7.75
-182787,-8.21
-182641,-8.72
-182501,-7.1
-182367,-7.37
-182229,-8.1
-182088,-7.79
-181948,-8.08
-181807,-8.2
-181664,-8.17
-181525,-7.64
-181386,-8.11
-181243,-8.58
-181102,-7.77
-180965,-7.7
-180830,-7.29
-180694,-8.08
-180556,-7.66
-180421,-7.52
-180284,-8
-180146,-7.87
-180011,-7.3
-179881,-6.95
-179753,-6.71
-179626,-6.77
-179502,-6.2
-179382,-5.8
-179259,-6.92
-179132,-6.64
-179011,-5.73
-178895,-5.32
-178780,-5.64
-178663,-5.64
-178546,-5.71
-178426,-6.44
-178304,-6.28
-178182,-6.35
-178060,-6.34
-177939,-6.39
-177820,-5.49
-177706,-5.3
-177590,-6.08
-177468,-6.83
-177342,-7
-177217,-6.65
-177093,-6.77
-176965,-7.5
-176830,-8.35
-176691,-8.28
-176554,-8.15
-176417,-8.19
-176283,-7.64
-176153,-7.25
-176026,-7.07
-175900,-6.94
-175773,-7.44
-175644,-7.4
-175517,-6.92
-175393,-6.88
-175268,-7.06
-175142,-7.08
-175015,-7.49
-174887,-7.19
-174759,-7.54
-174630,-7.58
-174501,-7.5
-174373,-7.33
-174244,-7.56
-174117,-7.23
-173991,-7.22
-173866,-7
-173746,-6.04
-173630,-6.09
-173509,-7.25
-173386,-6.84
-173266,-6.16
-173150,-6.14
-173034,-6.02
-172920,-5.92
-172804,-6.27
-172688,-6.09
-172573,-5.95
-172459,-6.02
-172344,-6.18
-172226,-6.74
-172105,-6.86
-171988,-5.91
-171875,-5.74
-171761,-6.3
-171642,-7.13
-171519,-6.96
-171397,-7.11
-171275,-6.89
-171153,-7.31
-171027,-7.72
-170900,-7.51
-170774,-7.64
-170647,-7.56
-170522,-7.53
-170393,-8.14
-170262,-8.15
-170132,-8.05
-170004,-7.65
-169880,-7.08
-169760,-6.88
-169638,-7.41
-169519,-6.27
-169405,-6.16
-169289,-7
-169165,-7.97
-169040,-7.01
-168922,-6.61
-168803,-7.25
-168683,-6.85
-168568,-6.05
-168455,-6.23
-168340,-6.71
-168221,-7.3
-168101,-7.01
-167983,-6.61
-167866,-6.87
-167750,-6.47
-167638,-5.83
-167531,-5.08
-167425,-5.81
-167314,-6.29
-167201,-6.33
-167088,-6.33
-166974,-6.59
-166857,-7.05
-166739,-6.94
-166623,-6.71
-166506,-6.9
-166391,-6.62
-166276,-6.65
-166159,-7.13
-166039,-7.56
-165915,-7.89
-165790,-8.05
-165664,-7.96
-165539,-7.96
-165414,-7.76
-165290,-7.99
-165164,-8.25
-165035,-8.45
-164909,-7.82
-164785,-7.9
-164662,-7.65
-164537,-8.34
-164411,-8.12
-164284,-8.39
-164155,-8.44
-164029,-7.97
-163903,-8.53
-163774,-8.57
-163646,-8.17
-163522,-7.98
-163399,-7.82
-163274,-8.31
-163148,-8.3
-163021,-8.44
-162894,-8.29
-162769,-8.11
-162642,-8.77
-162512,-8.57
-162385,-8.46
-162258,-8.26
-162136,-7.58
-162016,-7.76
-161896,-7.66
-161777,-7.39
-161660,-7.23
-161546,-6.81
-161432,-7
-161318,-7.05
-161204,-7.03
-161089,-7.25
-160976,-6.52
-160867,-6.14
-160759,-6.42
-160649,-6.6
-160543,-5.59
-160440,-5.46
-160336,-6.22
-160227,-6.6
-160117,-6.6
-160005,-7.18
-159890,-7.25
-159776,-7.03
-159661,-7.38
-159545,-7.41
-159427,-7.97
-159308,-7.52
-159192,-7.34
-159077,-7.48
-158963,-6.79
-158851,-7.07
-158740,-6.85
-158626,-7.4
-158514,-6.79
-158403,-6.78
-158293,-6.67
-158184,-6.76
-158076,-6.25
-157971,-5.94
-157865,-6.54
-157757,-6.37
-157651,-6.27
-157548,-5.36
-157444,-6.58
-157340,-5.63
-157240,-5.27
-157139,-5.89
-157033,-6.72
-156925,-6.62
-156815,-7.07
-156702,-7.62
-156584,-8.05
-156469,-7.13
-156359,-6.63
-156250,-6.93
-156140,-6.97
-156026,-7.93
-155909,-7.75
-155793,-7.67
-155677,-7.91
-155560,-7.69
-155444,-7.84
-155324,-8.59
-155202,-8.5
