x y
-47591 -6.07
-47672 -5.78
-47750 -5.3
-47828 -5.58
-47907 -5.6
-47985 -5.18
-48061 -5.03
-48138 -5.45
-48217 -5.7
-48295 -5.37
-48374 -5.54
-48452 -5.54
-48531 -5.65
-48610 -5.57
-48688 -5.19
-48766 -5.72
-48847 -6.07
-48928 -5.89
-49009 -5.74
-49086 -4.91
-49159 -3.77
-49230 -4.34
-49306 -5.38
-49384 -5.6
-49465 -6.21
-49549 -6.6
-49633 -6.43
-49715 -5.47
-49794 -5.59
-49874 -6.02
-49955 -5.56
-50034 -5.56
-50114 -5.81
-50195 -5.84
-50275 -5.55
-50352 -5.03
-50430 -5.6
-50511 -6.13
-50594 -6.23
-50679 -6.71
-50763 -6.15
-50846 -6.1
-50931 -6.93
-51019 -7.18
-51107 -7.07
-51193 -6.36
-51275 -5.65
-51355 -5.55
-51436 -6.05
-51520 -6.65
-51606 -6.65
-51692 -6.55
-51775 -6.04
-51858 -6.22
-51942 -6.49
-52026 -6.14
-52111 -6.6
-52198 -7.06
-52286 -6.96
-52372 -6.4
-52457 -6.53
-52544 -6.8
-52629 -6.17
-52713 -6.35
-52797 -6.29
-52881 -6.36
-52967 -6.71
-53052 -6.31
-53136 -6.16
-53218 -5.58
-53297 -5.34
-53377 -5.65
-53457 -5.42
-53536 -5.21
-53615 -5.43
-53694 -5.54
-53775 -5.81
-53855 -5.23
-53933 -4.8
-54009 -5.09
-54087 -4.95
-54163 -4.71
-54239 -4.92
-54317 -5.11
-54394 -4.76
-54471 -5.09
-54548 -5.1
-54624 -4.35
-54698 -4.42
-54774 -4.88
-54850 -4.47
-54922 -3.71
-54993 -3.68
-55065 -4.18
-55139 -4.54
-55215 -4.73
-55289 -4.01
-55362 -4.05
-55436 -4.85
-55513 -4.85
-55590 -4.86
-55669 -5.78
-55750 -5.51
-55828 -4.65
-55905 -4.98
-55981 -4.65
-56057 -4.62
-56133 -4.9
-56211 -4.96
-56286 -4.27
-56360 -4.22
-56436 -4.93
-56514 -5.21
-56594 -5.66
-56676 -5.86
-56759 -6.06
-56842 -5.93
-56925 -5.85
-57008 -6.04
-57093 -6.41
-57178 -6.31
-57262 -5.86
-57345 -5.85
-57428 -6.03
-57511 -5.86
-57593 -5.53
-57674 -5.53
-57755 -5.53
-57836 -5.81
-57921 -6.49
-58007 -6.53
-58093 -6.15
-58177 -6.11
-58262 -6.2
-58348 -6.45
-58433 -6.3
-58519 -6.28
-58605 -6.53
-58692 -6.58
-58779 -6.61
-58869 -7.31
-58961 -7.48
-59052 -6.98
-59141 -6.81
-59229 -6.53
-59317 -6.88
-59406 -6.86
-59496 -7
-59586 -7.26
-59677 -6.86
-59765 -6.5
-59852 -6.6
-59941 -7
-60031 -7.1
-60121 -7.05
-60213 -7.44
-60307 -7.72
-60401 -7.64
-60497 -8.09
-60594 -8.02
-60689 -7.67
-60783 -7.54
-60877 -7.51
-60970 -7.51
-61064 -7.51
-61157 -7.51
-61249 -7.11
-61338 -6.43
-61424 -6.26
-61512 -6.84
-61600 -6.66
-61688 -6.41
-61776 -6.83
-61865 -6.82
-61954 -6.79
-62043 -6.94
-62134 -7.27
-62228 -7.7
-62322 -7.55
-62416 -7.4
-62510 -7.91
-62605 -7.43
-62698 -7.49
-62793 -7.97
-62890 -7.92
-62987 -8.17
-63085 -7.98
-63182 -7.95
-63278 -7.76
-63371 -7.25
-63464 -7.49
-63559 -7.71
-63655 -8.15
-63756 -8.85
-63855 -7.75
-63949 -7.4
-64045 -8.21
-64144 -8.31
-64243 -8.06
-64338 -7.33
-64429 -6.88
-64520 -7.07
-64613 -7.73
-64708 -7.76
-64803 -7.54
-64898 -7.73
-64992 -7.44
-65085 -7.22
-65178 -7.47
-65272 -7.63
-65367 -7.52
-65462 -7.8
-65557 -7.71
-65653 -7.86
-65750 -8.15
-65848 -8.04
-65945 -7.89
-66041 -7.55
-66136 -7.8
-66233 -8.27
-66330 -7.65
-66424 -7.45
-66520 -8.01
-66617 -7.94
-66715 -8.2
-66811 -7.59
-66902 -6.36
-66987 -5.81
-67071 -6.12
-67155 -5.62
-67238 -5.75
-67324 -6.69
-67413 -6.92
-67506 -7.54
-67599 -7.33
-67691 -6.97
-67780 -6.55
-67869 -6.75
-67959 -7.31
-68054 -7.84
-68149 -7.72
-68243 -7.05
-68334 -7.08
-68425 -7.26
-68515 -6.52
-68600 -5.67
-68683 -5.67
-68766 -5.67
-68848 -5.66
-68931 -5.66
-69013 -5.7
-69096 -5.75
-69180 -5.93
-69264 -5.99
-69347 -5.44
-69427 -5.15
-69506 -4.6
-69584 -5.3
-69664 -5.2
-69743 -4.81
-69822 -5.36
-69905 -6.13
-69989 -5.55
-70070 -5.38
-70152 -5.69
-70235 -5.81
-70318 -5.82
-70403 -6.28
-70489 -6.53
-70578 -6.89
-70666 -6.39
-70753 -6.64
-70840 -5.97
-70922 -5.29
-71003 -5.77
-71087 -6
-71172 -6.31
-71258 -6.44
-71347 -7.1
-71440 -7.81
-71533 -6.96
-71620 -6.1
-71706 -6.61
-71795 -7.12
-71885 -6.85
-71973 -6.45
-72060 -6.56
-72150 -7.17
-72238 -6.31
-72322 -5.91
-72405 -5.62
-72484 -4.74
-72565 -6.03
-72651 -6.92
-72738 -5.87
-72821 -5.85
-72903 -5.68
-72985 -5.61
-73066 -5.41
-73147 -5.72
-73229 -5.42
-73308 -5.12
-73388 -5.32
-73468 -5.41
-73547 -5.13
-73625 -4.66
-73701 -4.53
-73776 -4.39
-73850 -4.35
-73928 -5.41
-74007 -5
-74084 -4.83
-74162 -5.23
-74239 -4.37
-74313 -4.05
-74388 -4.8
-74465 -5.08
-74543 -5.16
-74622 -5.22
-74700 -4.92
-74777 -4.67
-74854 -5.09
-74933 -5.5
-75014 -5.47
-75094 -5.42
-75175 -5.9
-75259 -6.33
-75345 -6.71
-75433 -7.14
-75521 -6.59
-75606 -5.81
-75687 -5.76
-75769 -5.81
-75853 -6.45
-75938 -6.52
-76025 -6.62
-76113 -7.28
-76200 -6.06
-76277 -3.82
-76353 -5.71
-76437 -6.79
-76522 -6.12
-76606 -6.32
-76690 -6.06
-76772 -5.78
-76854 -5.87
-76937 -6.24
-77020 -5.91
